country,continent,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index
Liberia,Africa,24.78,76.59,2.37,3.87,1013.58,29.93,2.19,0.09,94.75,72.92,27.38,81.29,9.08,5.33,1.42,10.69,17.22,330.44,50.83,0.26,0.26,3.38,5.08,1.0,1.0
Liechtenstein,Europe,16.0,60.8,3.16,5.1,1018.33,30.07,0.06,0.0,93.92,27.08,16.08,60.92,10.0,6.0,1.08,8.66,13.94,264.96,23.08,18.98,3.22,15.9,17.85,1.5,1.92
Lithuania,Europe,14.17,57.5,6.08,9.77,1017.75,30.05,0.01,0.0,88.0,30.0,14.09,57.36,9.18,5.5,1.33,10.54,16.97,234.63,39.38,4.11,1.05,6.34,8.37,1.08,1.08
Luxembourg,Europe,15.92,60.65,7.46,12.02,1017.75,30.05,0.16,0.01,82.33,12.5,15.82,60.47,9.42,5.58,1.25,9.78,15.75,225.73,41.16,13.12,0.98,9.2,10.19,1.17,1.42
Macedonia,Europe,18.92,66.05,3.12,5.04,1016.08,30.0,0.15,0.01,70.67,33.33,19.36,66.83,10.0,6.0,1.58,6.61,10.66,260.09,43.23,7.27,5.42,10.57,12.76,1.25,1.5
Madagascar,Indian,16.46,61.63,6.25,10.03,1021.96,30.18,0.01,0.0,79.46,32.71,16.36,61.45,10.0,6.0,1.33,7.68,12.36,300.48,39.29,0.95,0.79,3.69,7.7,1.0,1.04
Malawi,Africa,18.25,64.85,5.6,9.0,1018.58,30.08,0.0,0.0,54.08,6.58,18.08,64.56,10.0,6.0,1.42,7.43,11.97,336.85,43.92,1.69,0.55,8.58,12.27,1.17,1.17
Malaysia,Asia,25.75,78.35,2.55,4.13,1009.67,29.82,0.45,0.02,89.83,25.0,29.26,84.65,9.0,5.08,1.92,3.33,5.37,4163.43,2.81,68.22,52.72,113.74,134.68,4.0,9.42
Maldives,Indian,27.18,80.93,15.32,24.65,1009.83,29.82,1.24,0.05,78.5,72.75,30.47,86.86,9.33,5.5,1.92,24.3,39.14,177.88,31.97,0.18,0.23,1.25,2.59,1.0,1.0
Mali,Africa,24.83,76.7,4.1,6.57,1015.33,29.98,0.78,0.03,93.67,27.08,27.53,81.57,9.5,5.67,1.33,8.9,14.32,748.52,3.18,3.74,1.42,19.51,26.38,1.67,2.33
Malta,Europe,23.92,75.05,9.38,15.09,1013.83,29.94,1.26,0.05,71.58,13.5,25.72,78.29,10.0,6.0,1.5,19.78,31.82,219.74,90.08,1.17,23.08,15.2,20.12,1.42,2.0
Marshall Islands,Pacific,29.94,85.9,7.5,12.08,1010.75,29.84,0.22,0.01,75.5,79.33,36.28,97.31,23.5,13.75,5.75,13.83,22.24,167.59,19.01,0.0,0.06,1.09,3.02,1.0,1.0
Mauritania,Africa,28.08,82.55,13.37,21.47,1012.42,29.9,0.32,0.01,76.42,28.83,31.94,89.5,9.75,5.83,1.5,19.48,31.35,347.15,43.4,1.33,0.96,14.77,49.31,1.42,2.0
Mauritius,Indian,21.67,71.0,8.34,13.41,1020.25,30.13,0.02,0.0,78.92,45.83,23.19,73.75,10.0,6.0,1.92,14.65,23.58,234.75,63.42,1.71,2.14,3.96,10.22,1.0,1.0
Mexico,America,21.67,71.0,13.01,20.95,1024.5,30.25,0.0,0.0,51.25,76.0,22.0,71.61,11.78,6.83,5.33,7.21,11.62,769.09,125.58,32.48,31.2,34.68,37.91,1.92,3.08
Micronesia,Pacific,29.25,84.65,5.1,8.18,1010.58,29.84,0.59,0.02,81.92,91.67,34.46,94.0,23.67,13.92,5.92,10.24,16.5,173.99,10.18,0.01,0.01,0.54,1.03,1.0,1.0
Monaco,Europe,22.33,72.2,9.36,15.07,1015.33,29.98,0.02,0.0,63.17,18.75,23.77,74.74,10.0,6.0,1.42,9.62,15.48,237.4,46.43,7.84,0.93,10.42,12.57,1.25,1.5
Mongolia,Asia,12.08,53.75,5.16,8.35,1015.75,29.99,0.02,0.0,75.33,22.92,10.71,51.27,10.0,6.0,5.17,10.22,16.43,223.5,72.51,7.57,39.28,10.45,27.26,1.17,1.5
Montenegro,Europe,22.83,73.1,8.92,14.38,1014.17,29.95,0.48,0.02,63.0,18.75,23.51,74.3,10.0,6.0,1.33,13.81,22.26,208.34,51.54,2.31,1.41,6.57,7.22,1.0,1.08
Morocco,Africa,19.92,67.85,3.63,5.88,1014.08,29.94,0.03,0.0,91.92,33.33,20.26,68.47,5.0,3.0,1.42,7.48,12.04,213.35,88.39,0.69,1.38,5.48,15.78,1.0,1.0
Mozambique,Africa,19.53,67.16,6.93,11.15,1020.17,30.12,0.02,0.0,82.75,37.5,19.7,67.47,10.0,6.0,1.33,9.82,15.82,455.23,36.2,2.6,0.93,13.67,29.37,1.33,1.67
Myanmar,Asia,25.79,78.43,4.85,7.8,1005.75,29.69,0.77,0.03,90.5,69.5,29.18,84.54,8.42,5.0,4.58,7.57,12.18,251.33,32.28,1.05,0.2,7.69,8.82,1.17,1.33
Namibia,Africa,17.25,63.05,5.2,8.33,1025.42,30.28,0.0,0.0,29.0,0.0,17.21,62.97,10.0,6.0,1.5,11.02,17.76,352.42,61.16,1.8,3.22,26.96,44.83,1.75,2.67
Nepal,Asia,22.0,71.6,3.03,4.92,1013.08,29.91,0.13,0.0,88.17,68.75,23.56,74.41,7.25,3.92,3.5,3.6,5.8,1555.46,19.38,15.93,5.03,86.89,109.02,3.58,7.33
Netherlands,Europe,16.92,62.45,6.17,9.9,1016.42,30.01,0.03,0.0,87.08,10.42,16.72,62.08,9.08,5.42,1.33,10.64,17.13,257.58,39.3,19.78,1.92,11.43,13.73,1.25,1.42
New Zealand,Pacific,13.92,57.05,12.83,20.69,1025.25,30.28,0.03,0.0,70.67,33.33,12.75,54.94,10.0,6.0,3.5,16.64,26.79,215.17,57.01,1.29,0.84,1.68,3.75,1.0,1.0
Nicaragua,America,30.68,87.22,7.71,12.42,1008.25,29.77,0.07,0.0,68.75,45.83,37.12,98.79,9.92,5.92,5.75,15.7,25.25,362.73,41.19,5.38,6.94,6.79,8.81,1.08,1.17
Niger,Africa,28.5,83.3,6.11,9.82,1013.08,29.91,0.03,0.0,72.5,2.08,30.79,87.44,9.58,5.58,1.58,15.15,24.38,601.1,15.35,2.76,0.69,14.23,19.89,1.42,1.92
Nigeria,Africa,24.33,75.8,4.34,7.0,1015.42,29.98,1.18,0.05,91.58,33.33,27.23,81.04,10.0,6.0,1.42,3.87,6.22,659.78,15.29,1.81,0.17,13.01,18.0,1.25,1.58
North Korea,Asia,21.43,70.58,3.44,5.56,1012.33,29.9,0.07,0.0,82.33,29.17,22.14,71.87,10.0,6.0,5.5,4.71,7.59,547.7,19.98,15.39,24.82,42.72,51.94,2.42,4.67
Norway,Europe,13.17,55.7,19.26,31.0,1014.42,29.95,0.0,0.0,89.42,60.42,13.37,56.04,6.83,4.08,1.25,5.66,9.13,216.28,26.59,11.82,5.79,6.19,7.27,1.08,1.25
Oman,Asia,30.0,86.0,4.72,7.57,1002.67,29.61,0.0,0.0,83.0,6.25,35.66,96.18,9.25,5.33,2.08,7.28,11.7,254.64,41.5,25.4,8.63,32.22,110.67,2.08,3.33
Pakistan,Asia,26.59,79.86,5.52,8.89,1004.92,29.67,0.0,0.0,55.25,15.17,27.66,81.79,10.0,6.0,2.08,10.22,16.44,984.11,71.72,17.75,4.43,70.93,96.21,3.75,9.0
Palau,Pacific,28.25,82.85,7.9,12.7,1010.25,29.83,0.14,0.01,83.0,81.25,33.24,91.81,20.5,12.42,1.0,13.38,21.5,206.97,19.89,0.13,0.13,1.36,2.58,1.0,1.0
Panama,America,28.75,83.75,7.93,12.75,1008.17,29.77,0.76,0.03,82.5,50.0,35.72,96.29,9.83,5.83,5.17,8.18,13.18,901.23,13.48,18.22,13.03,6.88,8.43,1.08,1.17
Papua New Guinea,Pacific,26.78,80.2,10.51,16.92,1013.08,29.91,0.0,0.0,72.67,39.25,29.15,84.46,10.0,6.0,6.42,10.59,17.07,233.66,48.82,8.07,9.44,6.42,10.56,1.08,1.25
Paraguay,America,28.89,84.0,6.69,10.78,1007.83,29.76,0.02,0.0,43.75,34.75,29.58,85.22,9.92,5.92,1.0,11.82,19.01,426.7,22.34,0.39,0.08,5.62,5.76,1.0,1.08
Peru,America,18.35,65.04,8.98,14.47,1012.58,29.9,0.0,0.0,79.0,38.5,18.36,65.05,10.0,6.0,4.17,11.24,18.08,303.47,48.1,13.88,6.74,9.35,23.46,1.0,1.25
Philippines,Asia,27.25,81.05,7.32,11.83,1006.75,29.73,2.93,0.12,91.83,79.17,31.92,89.47,8.08,4.58,6.17,19.06,30.67,601.37,28.67,13.39,4.79,17.32,26.13,1.5,2.58
Poland,Europe,15.17,59.3,4.05,6.5,1017.92,30.06,0.0,0.0,89.25,18.75,15.32,59.58,9.92,5.92,1.5,6.42,10.31,341.88,33.18,15.14,11.93,18.57,22.9,1.42,2.25
Portugal,Europe,19.58,67.25,8.34,13.46,1014.5,29.96,0.27,0.01,84.08,33.33,19.58,67.25,10.0,6.0,1.42,13.63,21.94,225.46,66.41,4.83,1.89,4.69,9.48,1.0,1.0
Qatar,Asia,34.08,93.35,5.26,8.45,1001.75,29.58,0.0,0.0,66.25,2.08,42.27,108.06,9.02,5.25,2.25,13.37,21.52,401.39,70.91,73.09,49.19,65.51,120.5,3.08,6.42
Romania,Europe,20.42,68.75,4.53,7.28,1016.0,30.0,0.06,0.0,63.83,6.25,20.58,69.03,10.0,6.0,1.67,11.08,17.83,258.13,46.74,7.01,1.17,8.55,10.22,1.08,1.25
Russia,Asia,15.16,59.28,4.95,7.95,1011.75,29.87,0.01,0.0,61.33,42.0,14.75,58.56,10.0,6.0,3.25,7.71,12.43,157.72,20.91,1.78,1.1,1.63,3.26,1.0,1.0
Russia,Europe,12.83,55.1,6.27,10.07,1017.83,30.05,0.0,0.0,83.92,20.83,12.21,53.95,9.92,5.92,1.17,9.22,14.85,292.08,14.2,21.54,12.13,8.6,10.99,1.17,1.42
Rwanda,Africa,20.17,68.3,6.47,10.4,1020.58,30.14,0.1,0.0,70.25,50.0,20.52,68.93,9.83,5.83,1.5,4.84,7.82,626.68,18.68,5.65,0.68,24.75,37.8,1.83,2.67
Saint Kitts and Nevis,America,28.83,83.9,10.08,16.22,1014.0,29.94,0.04,0.0,80.83,22.92,33.29,91.93,10.0,6.0,1.0,21.1,33.97,215.99,38.04,0.91,0.48,2.85,8.1,1.0,1.0
Saint Lucia,America,28.08,82.55,7.03,11.32,1013.17,29.92,0.2,0.01,82.08,37.5,32.24,90.02,10.0,6.0,1.0,15.8,25.4,201.38,32.03,0.38,0.29,3.47,7.48,1.0,1.0
Saint Vincent and the Grenadines,America,28.92,84.04,15.3,24.64,1012.58,29.9,0.36,0.01,75.0,55.42,33.53,92.37,9.83,5.83,1.0,21.63,34.84,213.35,34.11,0.45,0.55,3.35,8.79,1.0,1.0
Samoa,Pacific,30.0,86.0,7.84,12.64,1013.17,29.92,0.11,0.0,73.58,68.75,36.61,97.9,10.0,6.0,6.0,25.19,40.58,189.01,55.26,0.16,0.3,2.92,10.32,1.0,1.0
San Marino,Europe,19.75,67.55,5.18,8.33,1015.5,29.99,0.02,0.0,73.67,8.33,19.9,67.82,10.0,6.0,1.42,12.43,20.02,242.84,90.01,2.6,1.13,6.82,8.93,1.08,1.17
Saudi Arabia,Asia,31.42,88.55,4.09,6.57,1008.42,29.78,0.0,0.0,15.5,0.0,29.71,85.44,10.0,6.0,1.75,10.68,17.19,238.1,101.38,17.22,33.38,46.54,170.02,2.67,5.17
Senegal,Africa,27.35,81.23,10.19,16.38,1012.25,29.89,1.2,0.05,87.33,45.92,31.52,88.73,9.25,5.42,1.42,21.02,33.8,314.18,38.03,1.31,1.37,4.21,10.44,1.0,1.0
Serbia,Europe,18.17,64.7,5.74,9.25,1016.75,30.02,0.04,0.0,80.83,8.33,18.26,64.88,10.0,6.0,1.33,7.59,12.23,246.72,31.98,9.69,0.89,11.34,14.1,1.17,1.5
Seychelles Islands,Indian,26.54,79.78,14.0,22.54,1010.5,29.84,0.3,0.01,82.17,51.17,29.66,85.4,10.0,6.0,1.83,27.04,43.53,206.27,51.24,0.21,0.57,4.3,12.16,1.0,1.0
Sierra Leone,Africa,25.42,77.75,7.97,12.81,1013.67,29.93,2.1,0.08,88.67,72.5,28.42,83.15,9.08,5.33,1.42,11.64,18.72,303.2,26.49,0.77,0.26,3.29,4.87,1.0,1.0
Singapore,Asia,27.83,82.1,4.84,7.76,1009.5,29.81,0.26,0.01,79.5,72.92,31.62,88.93,9.5,5.58,3.17,13.55,21.82,783.29,12.62,41.03,28.52,16.76,23.44,1.5,1.83
Slovakia,Europe,16.17,61.1,4.6,7.37,1018.0,30.06,0.06,0.0,83.0,10.42,16.04,60.88,10.0,6.0,1.25,10.58,17.05,245.07,37.99,10.91,1.6,7.53,8.86,1.0,1.17
Slovenia,Europe,14.17,57.5,3.92,6.32,1018.75,30.08,0.57,0.02,94.5,37.5,14.65,58.32,9.5,5.67,1.25,2.82,4.53,254.38,17.44,9.88,0.73,11.87,16.78,1.25,1.5
Solomon Islands,Pacific,28.52,83.33,6.4,10.29,1011.67,29.87,0.34,0.01,77.08,45.83,32.85,91.13,9.75,5.75,6.08,9.95,16.02,188.45,32.19,1.1,0.78,1.39,1.8,1.0,1.0
Somalia,Africa,24.85,76.74,16.81,27.07,1012.42,29.9,0.03,0.0,85.58,49.08,27.24,81.03,10.0,6.0,1.83,24.21,38.98,203.76,47.28,0.09,0.27,7.28,19.05,1.0,1.0
South Africa,Africa,15.0,59.0,5.57,8.98,1026.0,30.3,0.0,0.0,38.42,0.0,15.06,59.09,10.0,6.0,1.33,7.99,12.86,825.29,53.63,18.76,29.74,50.51,68.04,2.67,5.08
South Korea,Asia,23.33,74.0,3.73,5.97,1012.0,29.88,0.11,0.0,89.67,45.83,25.2,77.36,9.5,5.58,5.08,4.38,7.05,1064.23,8.43,36.34,28.51,47.09,53.35,2.58,5.67
Spain,Europe,20.58,69.05,3.35,5.38,1016.92,30.03,0.29,0.01,62.33,22.92,21.21,70.18,9.58,5.58,1.42,11.3,18.18,380.66,36.06,24.09,0.34,6.07,8.43,1.08,1.17
Sri Lanka,Asia,26.0,78.8,8.89,14.29,1008.83,29.79,0.76,0.03,90.0,52.08,29.48,85.03,9.5,5.5,1.83,18.65,30.03,202.37,28.78,3.17,2.05,2.22,5.21,1.0,1.0
Sudan,Africa,29.09,84.37,11.34,18.25,1009.33,29.8,0.06,0.0,52.96,30.92,30.27,86.48,9.92,5.92,1.58,16.14,25.98,334.28,24.9,2.07,0.95,14.05,51.18,1.42,1.75
Suriname,America,27.88,82.18,4.5,7.22,1011.25,29.86,0.02,0.0,77.58,27.5,32.98,91.36,9.58,5.67,1.0,13.36,21.47,300.97,38.35,0.1,0.13,2.61,9.52,1.0,1.0
Swaziland,Africa,13.28,55.89,3.52,5.67,1022.08,30.18,0.0,0.0,71.75,12.0,13.18,55.72,9.33,5.58,1.33,7.15,11.52,398.31,45.67,2.8,1.75,24.66,30.43,1.92,2.83
Sweden,Europe,13.58,56.45,5.01,8.07,1014.75,29.97,0.04,0.0,91.67,34.17,13.34,56.02,9.02,5.33,1.33,8.75,14.07,235.45,34.93,8.26,5.03,4.23,5.96,1.0,1.08
Switzerland,Europe,14.75,58.55,2.79,4.53,1018.42,30.07,0.0,0.0,91.58,29.17,15.03,59.02,9.83,5.83,1.25,5.1,8.19,244.38,18.55,13.07,2.22,14.31,16.12,1.33,1.75
Syria,Asia,22.5,72.5,10.35,16.66,1011.67,29.87,0.0,0.0,51.08,4.17,22.95,73.3,10.0,6.0,1.58,6.03,9.7,275.38,58.88,8.92,6.91,18.82,37.93,1.67,2.08
Tajikistan,Asia,19.75,67.55,3.53,5.7,1013.83,29.94,0.0,0.0,52.0,6.25,19.61,67.29,9.25,5.42,2.0,4.32,6.94,202.51,41.64,2.72,3.15,7.13,15.28,1.0,1.0
Tanzania,Africa,19.55,67.19,10.07,16.2,1015.75,30.0,0.0,0.0,63.58,13.33,19.66,67.38,10.0,6.0,1.42,13.45,21.63,231.01,39.58,0.32,0.18,2.79,4.56,1.0,1.0
Thailand,Asia,26.96,80.53,3.9,6.27,1006.17,29.72,0.63,0.02,85.96,43.75,31.4,88.53,9.62,5.71,1.92,4.98,8.02,825.71,5.2,9.86,10.95,21.23,36.6,1.67,2.08
Timor-Leste,Asia,22.2,72.0,2.5,4.0,1014.0,29.94,0.0,0.0,62.0,5.0,24.6,76.3,10.0,6.0,6.0,4.3,6.8,267.0,30.0,0.7,0.2,4.0,6.8,1.0,1.0
Tonga,Pacific,25.08,77.15,13.78,22.21,1018.75,30.08,0.04,0.0,74.92,47.92,26.92,80.47,10.0,6.0,5.17,23.48,37.78,198.32,60.73,0.17,0.52,2.67,9.87,1.0,1.0
Trinidad and Tobago,America,27.67,81.8,5.05,8.12,1011.67,29.87,0.07,0.0,85.75,25.0,32.33,90.22,10.0,6.0,1.0,12.6,20.28,263.7,18.68,9.16,0.88,1.6,4.07,1.0,1.0
Tunisia,Africa,24.5,76.1,6.21,9.99,1015.25,29.98,0.04,0.0,72.83,29.17,25.87,78.56,10.0,6.0,1.5,9.63,15.51,245.62,67.23,5.54,2.86,7.98,16.02,1.08,1.17
Turkey,Europe,21.46,70.63,5.1,8.22,1013.46,29.93,0.17,0.01,68.46,18.75,22.35,72.21,10.0,6.0,1.54,9.11,14.66,273.58,58.4,8.89,4.34,12.21,15.09,1.25,1.5
Turkmenistan,Asia,23.42,74.15,6.37,10.24,1010.83,29.85,0.0,0.0,41.58,16.67,23.38,74.05,10.0,6.0,2.08,9.76,15.69,251.72,68.82,18.0,12.95,17.99,66.96,1.75,1.92
Tuvalu,Pacific,30.97,87.75,12.6,20.26,1010.82,29.85,0.45,0.02,84.09,69.45,39.87,103.75,10.0,6.0,5.09,26.56,42.74,177.53,31.23,0.0,0.12,1.82,4.72,1.0,1.0
Uganda,Africa,20.55,68.98,5.14,8.28,1015.67,29.99,0.25,0.01,86.58,32.83,20.83,69.5,10.0,6.0,1.42,4.7,7.56,505.97,9.2,2.08,0.47,27.59,41.28,1.92,3.17
Ukraine,Europe,15.33,59.59,4.46,7.18,1018.58,30.08,0.88,0.03,72.58,31.67,15.32,59.58,9.67,5.75,1.5,8.23,13.26,225.72,39.22,4.03,1.12,7.08,8.09,1.0,1.08
United Arab Emirates,Asia,33.92,93.05,4.71,7.56,1001.42,29.57,0.0,0.0,64.83,6.25,44.0,111.2,9.83,5.83,2.25,15.22,24.51,288.44,144.9,3.98,4.74,47.57,124.4,2.67,5.33
United Kingdom,Europe,17.17,62.9,4.85,7.8,1016.0,30.0,0.0,0.0,81.83,35.42,17.36,63.24,9.83,5.83,1.33,5.88,9.48,288.73,27.88,25.44,6.08,18.72,22.55,1.5,2.25
United States of America,America,25.32,77.59,7.93,12.78,1012.67,29.9,0.0,0.0,34.92,12.5,25.37,77.67,16.0,9.0,5.58,7.92,12.73,203.9,88.64,0.85,0.28,3.54,4.01,1.08,1.08
Uruguay,America,11.75,53.15,9.42,15.17,1017.08,30.03,0.18,0.01,78.42,29.17,9.95,49.88,8.75,5.17,1.0,17.92,28.82,436.72,37.78,11.42,6.82,8.03,12.42,1.08,1.25
Uzbekistan,Asia,19.75,67.55,5.72,9.18,1012.08,29.89,0.01,0.0,48.17,13.42,19.81,67.63,10.0,6.0,2.08,6.94,11.2,267.58,42.28,17.55,2.12,8.72,18.08,1.08,1.17
Vanuatu,Pacific,25.64,78.16,11.45,18.42,1015.42,29.98,0.62,0.02,78.92,69.17,28.67,83.59,9.25,5.5,5.0,26.95,43.38,188.31,54.04,0.01,0.63,4.2,13.23,1.0,1.0
Vatican City,Europe,20.92,69.65,4.02,6.44,1014.67,29.96,0.08,0.0,66.17,10.42,21.64,70.93,9.5,5.67,1.33,10.02,16.12,448.68,23.82,16.48,0.63,12.87,16.26,1.25,1.67
Venezuela,America,28.67,83.6,5.39,8.64,1011.58,29.87,0.43,0.02,70.92,45.83,35.82,96.48,9.83,5.83,1.0,7.51,12.08,525.99,38.94,30.07,42.22,12.63,14.05,1.33,1.5
Vietnam,Asia,26.92,80.45,4.57,7.35,1005.58,29.7,0.12,0.0,84.67,22.92,30.28,86.49,8.17,4.75,6.5,11.32,18.21,1137.64,25.13,19.15,7.9,73.13,92.24,3.08,7.08
Yemen,Asia,19.16,66.47,4.9,7.9,1012.33,29.9,0.02,0.0,34.67,22.5,19.14,66.44,9.83,5.83,1.75,8.42,13.55,192.5,68.63,9.92,15.78,32.42,114.18,2.25,3.5
Zambia,Africa,18.83,65.91,6.98,11.22,1017.5,30.04,0.0,0.0,36.5,0.83,18.68,65.64,10.0,6.0,1.33,12.7,20.45,1168.25,55.41,5.18,5.57,15.51,22.55,1.42,1.75
Zimbabwe,Africa,15.48,59.87,7.35,11.82,1019.92,30.12,0.0,0.0,43.92,2.83,15.18,59.33,10.0,6.0,1.33,12.26,19.73,478.71,48.34,5.46,7.11,26.68,33.18,2.0,3.17
